name,start_month,start_day,end_month,end_day,year,peak_classification,wind_speed_mph,wind_speed_kmh,pressure_hPa,pressure_inHg,areas_affected,deaths,damage,start_date,end_date,adj_factor,damage_inflation_adjusted,name_date
Luis,August,27,September,11,1995,4,140,220,935,27.610000000000003,"Leeward Islands, Puerto Rico, Bermuda",19,2500000000,1995-08-27,1995-09-11,1.67,4175000000,Luis_1995-08-27
Marilyn,September,12,September,22,1995,3,115,185,949,28.02,"The Caribbean, Bermuda",8,2100000000,1995-09-12,1995-09-22,1.67,3507000000,Marilyn_1995-09-12
Opal,September,27,October,6,1995,4,150,240,916,27.05,"Guatemala, Yucatán Peninsula, Eastern United States",59,4700000000,1995-09-27,1995-10-06,1.67,7849000000,Opal_1995-09-27
Roxanne,October,7,October,21,1995,3,115,185,956,28.23,Mexico,14,1500000000,1995-10-07,1995-10-21,1.67,2505000000,Roxanne_1995-10-07
Cesar,July,24,July,29,1996,1,85,140,985,29.09,"Central America, Mexico",113,203000000,1996-07-24,1996-07-29,1.63,330890000,Cesar_1996-07-24
Fran,August,23,September,8,1996,3,120,195,946,27.939999999999998,Eastern United States,26,5000000000,1996-08-23,1996-09-08,1.63,8149999999.999999,Fran_1996-08-23
Hortense,September,3,September,16,1996,4,140,220,935,27.610000000000003,"The Caribbean, Puerto Rico, Atlantic Canada",39,158000000,1996-09-03,1996-09-16,1.63,257539999.99999997,Hortense_1996-09-03
Georges,September,15,October,1,1998,4,155,250,937,27.67,"The Caribbean, United States Gulf Coast",604,9370000000,1998-09-15,1998-10-01,1.56,14617200000,Georges_1998-09-15
Mitch,October,22,November,5,1998,5,180,285,905,26.72,"Central America, Yucatán Peninsula, South Florida",11000,6080000000,1998-10-22,1998-11-05,1.56,9484800000,Mitch_1998-10-22
Floyd,September,7,September,19,1999,4,155,250,921,27.2,"The Bahamas, Eastern United States, Atlantic Canada",57,6900000000,1999-09-07,1999-09-19,1.53,10557000000,Floyd_1999-09-07
Lenny,November,13,November,23,1999,4,155,250,933,27.55,"Colombia, Puerto Rico, Leeward Islands",17,686000000,1999-11-13,1999-11-23,1.53,1049580000,Lenny_1999-11-13
Keith,September,28,October,6,2000,4,140,220,939,27.73,Central America,56,319000000,2000-09-28,2000-10-06,1.48,472120000,Keith_2000-09-28
Allison,June,4,June,18,2001,0,60,95,1000,29.53,"Texas, Louisiana, Southern United States",50,8500000000,2001-06-04,2001-06-18,1.44,12240000000,Allison_2001-06-04
Iris,October,4,October,9,2001,4,145,230,948,27.99,"Hispaniola, Jamaica, Belize, Guatemala, Mexico",31,140000000,2001-10-04,2001-10-09,1.44,201600000,Iris_2001-10-04
Michelle,October,29,November,6,2001,4,140,220,933,27.55,"Central America, Jamaica, Cuba, Bahamas",17,2000000000,2001-10-29,2001-11-06,1.44,2880000000,Michelle_2001-10-29
Isidore,September,14,September,27,2002,3,125,205,934,27.58,"Cuba, Yucatán Peninsula, Louisiana",17,1300000000,2002-09-14,2002-09-27,1.42,1846000000,Isidore_2002-09-14
Lili,September,21,October,4,2002,4,145,230,938,27.7,"Windward Islands, Cuba, Jamaica, Haiti, Louisiana",15,1160000000,2002-09-21,2002-10-04,1.42,1647200000,Lili_2002-09-21
Fabian,August,25,September,8,2003,4,145,230,939,27.73,Bermuda,4,300000000,2003-08-25,2003-09-08,1.39,417000000,Fabian_2003-08-25
Isabel,September,6,September,20,2003,5,165,270,915,27.02,"Greater Antilles, Bahamas, Eastern United States, Ontario",50,5500000000,2003-09-06,2003-09-20,1.39,7644999999.999999,Isabel_2003-09-06
Juan,September,24,September,29,2003,2,105,170,969,28.610000000000003,Atlantic Canada,5,200000000,2003-09-24,2003-09-29,1.39,278000000,Juan_2003-09-24
Charley,August,9,August,15,2004,4,150,240,941,27.79,"Jamaica, Cayman Islands, Cuba, Florida, The Carolinas",40,16899999999.999998,2004-08-09,2004-08-15,1.35,22815000000,Charley_2004-08-09
Frances,August,24,September,10,2004,4,145,230,935,27.610000000000003,"The Caribbean, Eastern United States, Ontario",50,9800000000,2004-08-24,2004-09-10,1.35,13230000000,Frances_2004-08-24
Ivan,September,2,September,24,2004,5,165,270,910,26.87,"The Caribbean, Venezuela, United States Gulf Coast",124,26100000000,2004-09-02,2004-09-24,1.35,35235000000,Ivan_2004-09-02
Jeanne,September,13,September,28,2004,3,120,195,950,28.05,"The Caribbean, Eastern United States",3035,7940000000,2004-09-13,2004-09-28,1.35,10719000000,Jeanne_2004-09-13
Dennis,July,4,July,13,2005,4,150,240,930,27.459999999999997,"Greater Antilles, Southeastern United States",89,3980000000,2005-07-04,2005-07-13,1.31,5213800000,Dennis_2005-07-04
Katrina,August,23,August,30,2005,5,175,280,902,26.64,"Bahamas, United States Gulf Coast",1836,125000000000,2005-08-23,2005-08-30,1.31,163750000000,Katrina_2005-08-23
Rita,September,18,September,26,2005,5,180,290,895,26.43,"Cuba, United States Gulf Coast",62,18500000000,2005-09-18,2005-09-26,1.31,24235000000,Rita_2005-09-18
Stan,October,1,October,5,2005,1,80,130,977,28.85,"Mexico, Central America",1668,3960000000,2005-10-01,2005-10-05,1.31,5187600000,Stan_2005-10-01
Wilma,October,15,October,26,2005,5,185,295,882,26.05,"Greater Antilles, Central America, Yucatán Peninsula, Florida",23,27400000000,2005-10-15,2005-10-26,1.31,35894000000,Wilma_2005-10-15
Dean,August,13,August,23,2007,5,175,280,905,26.72,"The Caribbean, Central America",45,1780000000,2007-08-13,2007-08-23,1.23,2189400000,Dean_2007-08-13
Felix,August,31,September,5,2007,5,175,280,929,27.43,"Nicaragua, Honduras",130,720000000,2007-08-31,2007-09-05,1.23,885600000,Felix_2007-08-31
Noel,October,28,November,2,2007,1,80,130,980,28.939999999999998,"Greater Antilles, Eastern United States, Atlantic Canada",163,580000000,2007-10-28,2007-11-02,1.23,713400000,Noel_2007-10-28
Gustav,August,25,September,4,2008,4,155,250,941,27.79,"Greater Antilles, Cayman Islands, United States Gulf Coast",153,8310000000.000001,2008-08-25,2008-09-04,1.18,9805800000,Gustav_2008-08-25
Ike,September,1,September,14,2008,4,145,230,935,27.610000000000003,"Greater Antilles, Texas, Louisiana, Midwestern United States",195,38000000000,2008-09-01,2008-09-14,1.18,44840000000,Ike_2008-09-01
Paloma,November,5,November,10,2008,4,145,230,944,27.88,"Cayman Islands, Cuba",1,300000000,2008-11-05,2008-11-10,1.18,354000000,Paloma_2008-11-05
Igor,September,8,September,21,2010,4,155,250,924,27.29,"Bermuda, Newfoundland",4,200000000,2010-09-08,2010-09-21,1.17,234000000,Igor_2010-09-08
Tomas,October,29,November,7,2010,2,100,155,982,29,Caribbean,44,348000000,2010-10-29,2010-11-07,1.17,407160000,Tomas_2010-10-29
Irene,August,21,August,28,2011,3,120,195,942,27.82,"Caribbean, Bahamas, United States East Coast, Eastern Canada",58,14200000000,2011-08-21,2011-08-28,1.13,16045999999.999998,Irene_2011-08-21
Sandy,October,22,October,29,2012,3,115,185,940,27.759999999999998,"Caribbean, Bahamas, United States East Coast, Eastern Canada",234,68700000000,2012-10-22,2012-10-29,1.11,76257000000,Sandy_2012-10-22
Ingrid,September,12,September,17,2013,1,85,140,983,29.03,Mexico,32,1500000000,2013-09-12,2013-09-17,1.09,1635000000.0000002,Ingrid_2013-09-12
Erika,August,24,August,28,2015,0,50,85,1001,29.56,"Lesser Antilles, Hispaniola",35,511000000,2015-08-24,2015-08-28,1.08,551880000,Erika_2015-08-24
Joaquin,September,28,October,8,2015,4,155,250,931,27.49,"Bahamas, Bermuda",34,200000000,2015-09-28,2015-10-08,1.08,216000000,Joaquin_2015-09-28
Matthew,September,28,October,9,2016,5,165,270,934,27.58,"Caribbean, Southeastern United States",603,15100000000,2016-09-28,2016-10-09,1.06,16006000000,Matthew_2016-09-28
Otto,November,20,November,26,2016,3,115,185,975,28.79,"Panama, Costa Rica, Nicaragua",23,192000000,2016-11-20,2016-11-26,1.06,203520000,Otto_2016-11-20
Harvey,August,17,September,1,2017,4,130,215,937,27.67,"Texas, Louisiana",107,125000000000,2017-08-17,2017-09-01,1.04,130000000000,Harvey_2017-08-17
Irma,August,30,September,12,2017,5,180,290,914,26.99,"Caribbean, Southeastern United States",134,77200000000,2017-08-30,2017-09-12,1.04,80288000000,Irma_2017-08-30
Maria,September,16,September,30,2017,5,175,280,908,26.810000000000002,"Lesser Antilles, Puerto Rico",3057,91600000000,2017-09-16,2017-09-30,1.04,95264000000,Maria_2017-09-16
Nate,October,4,October,9,2017,1,90,150,981,28.97,"Central America, United States Gulf Coast",48,787000000,2017-10-04,2017-10-09,1.04,818480000,Nate_2017-10-04
Florence,August,31,September,17,2018,4,150,240,937,27.67,Eastern United States,57,24000000000,2018-08-31,2018-09-17,1.02,24480000000,Florence_2018-08-31
Michael,October,7,October,11,2018,5,160,260,919,27.14,"Central America, United States Gulf Coast",74,25100000000,2018-10-07,2018-10-11,1.02,25602000000,Michael_2018-10-07
